customer_id,churn_probability,actual_churn,risk_decile
1031-IIDEO,0.8391,Yes,10
3244-DCJWY,0.8391,Yes,10
5376-DEQCP,0.8391,Yes,10
6653-CBBOM,0.8391,Yes,10
4702-IOQDC,0.8391,Yes,10
9019-QVLZD,0.8389,Yes,10
9507-EXLTT,0.8386,Yes,10
6618-RYATB,0.8385,Yes,10
3296-SILRA,0.8384,Yes,10
0684-AOSIH,0.837,Yes,10
6996-KNSML,0.8368,Yes,10
5797-APWZC,0.8366,Yes,10
7294-TMAOP,0.8366,Yes,10
6861-XWTWQ,0.836,Yes,10
8992-JQYUN,0.8359,Yes,10
5564-NEMQO,0.8354,Yes,10
6372-RFVNS,0.8352,Yes,10
2777-PHDEI,0.8352,Yes,10
0495-ZBNGW,0.8349,Yes,10
8779-QRDMV,0.8342,Yes,10
8884-ADFVN,0.834,Yes,10
8821-XNHVZ,0.8338,Yes,10
6502-MJQAE,0.8337,Yes,10
7254-IQWOZ,0.8337,Yes,10
4510-HIMLV,0.8337,Yes,10
6457-GIRWB,0.8337,Yes,10
1820-TQVEV,0.8337,Yes,10
6416-TVAIH,0.8337,Yes,10
3428-XZMAZ,0.8337,Yes,10
4603-JANFB,0.8337,Yes,10
1447-GIQMR,0.8337,Yes,10
3716-BDVDB,0.8337,Yes,10
1875-QIVME,0.8328,Yes,10
6457-USBER,0.8314,Yes,10
2018-QKYGT,0.8314,No,10
3776-EKTKM,0.8306,Yes,10
4822-RVYBB,0.8294,Yes,10
8775-ERLNB,0.8272,No,10
2446-BEGGB,0.827,Yes,10
0781-LKXBR,0.8267,Yes,10
7488-MXJIV,0.8265,Yes,10
2012-NWRPA,0.8257,Yes,10
1977-STDKI,0.8248,Yes,10
8945-GRKHX,0.8243,Yes,10
9305-CDSKC,0.8243,Yes,10
2265-CYWIV,0.8239,Yes,10
7903-CMPEY,0.8217,Yes,10
2968-SSGAA,0.8216,Yes,10
5277-ZLOOR,0.8209,Yes,10
0137-OCGAB,0.8206,Yes,10
2254-DLXRI,0.8206,No,10
8309-IEYJD,0.8205,No,10
0390-DCFDQ,0.8205,Yes,10
3006-XIMLN,0.8203,Yes,10
5875-YPQFJ,0.8199,Yes,10
2446-PLQVO,0.8199,Yes,10
8380-PEFPE,0.8199,Yes,10
7465-ZZRVX,0.8199,No,10
3422-LYEPQ,0.8199,Yes,10
9804-ICWBG,0.8199,Yes,10
1853-UDXBW,0.8199,Yes,10
5542-TBBWB,0.8199,No,10
3494-JCHRQ,0.8199,Yes,10
5186-SAMNZ,0.8198,Yes,10
4695-WJZUE,0.8192,Yes,10
5167-ZFFMM,0.8187,Yes,10
2545-EBUPK,0.8186,No,10
0742-NXBGR,0.8185,Yes,10
6960-HVYXR,0.8185,Yes,10
3707-GNWHM,0.8184,Yes,10
3276-HDUEG,0.8184,Yes,10
1455-UGQVH,0.8183,Yes,10
4626-GYCZP,0.8181,Yes,10
3049-NDXFL,0.8172,Yes,10
4078-SAYYN,0.8172,Yes,10
0897-FEGMU,0.8172,Yes,10
0235-KGSLC,0.8167,Yes,10
3811-VBYBZ,0.8146,Yes,10
0880-TKATG,0.8134,Yes,10
2737-WFVYW,0.8129,Yes,10
0375-HVGXO,0.8128,Yes,10
5378-IKEEG,0.8128,Yes,10
0259-GBZSH,0.8123,Yes,10
6630-UJZMY,0.8122,No,10
4132-KALRO,0.8121,No,10
9546-CQJSU,0.809,Yes,10
4927-WWOOZ,0.809,No,10
7450-NWRTR,0.8089,Yes,10
8348-HFYIV,0.8086,Yes,10
7932-WPTDS,0.808,Yes,10
0697-ZMSWS,0.808,Yes,10
7384-GHBPI,0.8052,Yes,10
4952-YSOGZ,0.8051,Yes,10
8161-QYMTT,0.8045,No,10
6892-EZDTG,0.8039,Yes,10
5196-SGOAK,0.8034,Yes,10
3765-JXVKY,0.8034,Yes,10
6688-UZPWD,0.8033,Yes,10
3489-HHPFY,0.8032,No,10
3621-CEOVK,0.802,Yes,10
8593-WHYHV,0.8018,Yes,10
4587-VVTOX,0.8015,Yes,10
3902-FOIGH,0.8013,Yes,10
3091-FYHKI,0.8011,Yes,10
0841-NULXI,0.8011,Yes,10
3606-TWKGI,0.8007,Yes,10
1628-BIZYP,0.7989,No,10
5393-RXQSZ,0.7986,Yes,10
1285-OKIPP,0.7986,Yes,10
2867-UIMSS,0.7986,Yes,10
1448-PWKYE,0.7986,Yes,10
1393-IMKZG,0.7981,No,10
9399-APLBT,0.798,Yes,10
1143-NMNQJ,0.7979,Yes,10
7908-QCBCA,0.7977,Yes,10
5419-CONWX,0.7977,Yes,10
1086-LXKFY,0.7977,Yes,10
9221-OTIVJ,0.7971,Yes,10
2660-EMUBI,0.797,Yes,10
7398-SKNQZ,0.7967,No,10
1768-ZAIFU,0.7965,Yes,10
0023-HGHWL,0.7965,Yes,10
2982-VPSGI,0.795,Yes,10
5519-NPHVG,0.795,Yes,10
5673-FSSMF,0.7945,Yes,10
2027-FECZV,0.7943,Yes,10
2856-HYAPG,0.7942,Yes,10
4951-UKAAQ,0.7937,Yes,10
0968-GSIKN,0.7934,Yes,10
2024-BASKD,0.7934,Yes,10
6772-KSATR,0.7931,Yes,10
3387-VATUS,0.7931,Yes,10
6474-FVJLC,0.7927,Yes,10
6910-HADCM,0.7925,Yes,10
7943-RQCHR,0.7912,Yes,10
3797-VTIDR,0.7902,Yes,10
1304-NECVQ,0.7894,Yes,10
8258-GSTJK,0.7894,Yes,10
6615-NGGZJ,0.789,Yes,10
4228-ZGYUW,0.7885,Yes,10
3871-IKPYH,0.7881,Yes,10
0564-JJHGS,0.7875,Yes,10
3877-JRJIP,0.7872,Yes,10
0655-RBDUG,0.7871,Yes,10
5380-AFSSK,0.7869,Yes,10
0722-TROQR,0.7866,Yes,10
2013-SGDXK,0.7861,Yes,10
0196-VULGZ,0.7859,Yes,10
5275-SQEIZ,0.7837,Yes,10
7890-VYYWG,0.7837,Yes,10
3643-AHCFP,0.7836,Yes,10
9172-ANCRX,0.7834,Yes,10
7526-BEZQB,0.7826,Yes,10
9094-AZPHK,0.7823,No,10
2462-XIIJB,0.7822,Yes,10
3097-NQYSN,0.7821,Yes,10
2619-WFQWU,0.7818,Yes,10
3066-RRJIO,0.7818,Yes,10
5032-MIYKT,0.7818,No,10
9985-MWVIX,0.7818,Yes,10
0680-DFNNY,0.7815,Yes,10
4274-OWWYO,0.781,Yes,10
4548-SDBKE,0.7807,Yes,10
2454-RPBRZ,0.7807,Yes,10
7576-OYWBN,0.7795,Yes,10
1915-IOFGU,0.778,Yes,10
3177-LASXD,0.778,Yes,10
2262-SLNVK,0.778,No,10
1024-GUALD,0.7776,Yes,10
3793-MMFUH,0.7776,Yes,10
5293-WXJAK,0.7775,Yes,10
6210-KBBPI,0.7772,Yes,10
7767-UXAGJ,0.777,Yes,10
9061-TIHDA,0.7769,Yes,10
2485-ITVKB,0.7764,Yes,10
1450-GALXR,0.7761,Yes,10
8739-XNIKG,0.7759,No,10
5054-IEXZT,0.7752,Yes,10
5043-TRZWM,0.775,No,10
9940-RHLFB,0.775,Yes,10
3677-IYRBF,0.7747,Yes,10
8972-HJWNV,0.7738,Yes,10
3320-VEOYC,0.7738,No,10
7234-FECYN,0.7731,Yes,10
2612-RANWT,0.7722,Yes,10
6140-QNRQQ,0.7702,Yes,10
8042-JVNFH,0.7702,Yes,10
8510-AWCXC,0.7695,Yes,10
9734-UYXQI,0.7689,Yes,10
5561-NWEVX,0.7688,Yes,10
2205-YMZZJ,0.7668,Yes,10
0334-GDDSO,0.7667,Yes,10
7074-IEVOJ,0.7667,Yes,10
8168-UQWWF,0.7663,Yes,10
6328-ZPBGN,0.7659,Yes,10
2754-SDJRD,0.7659,No,10
1197-BVMVG,0.7658,No,10
0637-KVDLV,0.7656,Yes,10
5835-BEQEU,0.7656,Yes,10
9444-JTXHZ,0.7655,Yes,10
1740-CSDJP,0.765,Yes,10
1334-FJSVR,0.7648,Yes,10
7365-BVCJH,0.7648,No,10
2672-DZUOY,0.7648,Yes,10
3727-RJMEO,0.7641,Yes,10
5299-RULOA,0.7638,Yes,10
3198-VELRD,0.7637,Yes,10
0822-GAVAP,0.7635,Yes,10
6702-OHFWR,0.7634,Yes,10
5383-MMTWC,0.7629,Yes,10
8058-JMEQO,0.7621,Yes,10
2642-DTVCO,0.7621,Yes,10
1925-TIBLE,0.7619,Yes,10
1579-KLYDT,0.7619,Yes,10
3801-HMYNL,0.761,Yes,10
1389-CXMLU,0.7606,Yes,10
9894-EZEWG,0.7605,Yes,10
5644-PDMZC,0.7605,Yes,10
6969-MVBAI,0.7604,No,10
9330-IJWIO,0.7591,Yes,10
1624-NALOJ,0.7583,Yes,10
0515-YPMCW,0.7577,Yes,10
1122-JWTJW,0.7577,Yes,10
1062-LHZOD,0.7577,Yes,10
9617-INGJY,0.7577,No,10
0916-QOFDP,0.7576,No,10
9965-YOKZB,0.757,Yes,10
5956-VKDTT,0.7558,Yes,10
1618-CFHME,0.755,Yes,10
3519-ZKXGG,0.755,Yes,10
4581-SSPWD,0.755,Yes,10
7330-WZLNC,0.7544,Yes,10
9957-YODKZ,0.7533,No,10
6979-ZNSFF,0.7531,Yes,10
1075-BGWOH,0.7528,Yes,10
7779-LGOVN,0.7518,Yes,10
8337-UPOAQ,0.7518,Yes,10
0674-EYYZV,0.7509,No,10
5698-BQJOH,0.75,Yes,10
6350-XFYGW,0.7499,No,10
4759-TRPLW,0.7497,Yes,10
6015-VVHHE,0.7497,Yes,10
7249-WBIYX,0.7497,Yes,10
7153-OANIO,0.7497,Yes,10
5583-SXDAG,0.7497,Yes,10
4445-ZJNMU,0.7483,No,10
6086-ESGRL,0.746,Yes,10
4749-OJKQU,0.7448,No,10
4090-KPJIP,0.7448,No,10
1320-HTRDR,0.7448,Yes,10
7817-BOQPW,0.7448,Yes,10
4060-LDNLU,0.7444,No,10
5348-CAGXB,0.7442,No,10
1173-XZPYF,0.7442,No,10
4140-MUHUG,0.744,Yes,10
2215-ZAFGX,0.744,No,10
2691-NZETQ,0.744,Yes,10
7242-QZLXF,0.7439,Yes,10
2862-PFNIK,0.7439,No,10
5909-ECHUI,0.7433,Yes,10
3063-QFSZL,0.7433,Yes,10
9822-OAOVB,0.7433,No,10
2034-GDRCN,0.7429,Yes,10
3841-CONLJ,0.7422,No,10
1564-NTYXF,0.7418,Yes,10
3462-BJQQA,0.7418,No,10
8780-IXSTS,0.7418,Yes,10
7314-OXENN,0.7412,Yes,10
3422-GALYP,0.7412,No,10
7295-JOMMD,0.7407,Yes,10
9306-CPCBC,0.7402,Yes,10
8083-YTZES,0.7402,Yes,10
0404-SWRVG,0.7402,Yes,10
7341-LXCAF,0.7402,Yes,10
0661-XEYAN,0.7399,Yes,10
1496-GGSUK,0.7399,Yes,10
1567-DSCIC,0.7394,Yes,10
4815-GBTCD,0.7394,No,10
0812-WUPTB,0.7393,Yes,10
4501-EQDRN,0.7386,Yes,10
7613-LLQFO,0.7384,Yes,10
7273-TEFQD,0.7383,Yes,10
4585-HETAI,0.7382,Yes,10
0219-YTZUE,0.738,Yes,10
6215-NQCPY,0.7375,No,10
8382-SHQEH,0.7372,Yes,10
3473-XIIIT,0.7369,Yes,10
4795-KTRTH,0.7359,Yes,10
9025-AOMKI,0.7358,Yes,10
6326-MTTXK,0.7356,Yes,10
9451-LPGOO,0.7355,Yes,10
9611-CTWIH,0.735,Yes,10
7595-EUIVN,0.7344,Yes,10
1981-INRFU,0.7337,Yes,10
4529-CKBCL,0.7337,Yes,10
7760-OYPDY,0.7337,Yes,10
9231-ZJYAM,0.7336,Yes,10
0195-IESCP,0.7336,Yes,10
4086-YQSNZ,0.7336,Yes,10
9747-DDZOS,0.7333,Yes,10
9944-HKVVB,0.7322,Yes,10
1980-KXVPM,0.7322,Yes,10
4110-PFEUZ,0.7317,Yes,10
7615-ESMYF,0.731,Yes,10
3992-YWPKO,0.7301,Yes,10
7228-OMTPN,0.7293,Yes,10
7568-PODML,0.7292,Yes,10
5229-PRWKT,0.729,Yes,10
8808-ELEHO,0.7288,Yes,10
1565-RHDJD,0.7287,Yes,10
5760-IFJOZ,0.7286,No,10
0616-ATFGB,0.7284,Yes,10
4713-LZDRV,0.7281,Yes,10
8931-GJJIQ,0.7281,Yes,10
5889-LFOLL,0.7278,Yes,10
9185-TQCVP,0.7278,Yes,10
6734-GMPVK,0.7278,No,10
0511-JTEOY,0.7264,Yes,10
0151-ONTOV,0.7264,Yes,10
0519-XUZJU,0.7264,Yes,10
8040-MNRTF,0.7264,No,10
0506-LVNGN,0.7262,Yes,10
2740-TVLFN,0.7261,No,10
8752-STIVR,0.7256,Yes,10
6357-JJPQT,0.7256,No,10
1678-FYZOW,0.7256,Yes,10
7145-FEJWU,0.7255,No,10
8245-UMPYT,0.7253,Yes,10
4298-OYIFC,0.7253,No,10
5565-FILXA,0.7253,Yes,10
7854-FOKSF,0.7239,Yes,10
9840-EFJQB,0.7236,No,10
7508-MYBOG,0.7236,Yes,10
9828-AOQLM,0.7231,Yes,10
5077-DXTCG,0.7231,Yes,10
6128-CZOMY,0.7231,Yes,10
7858-GTZSP,0.723,No,10
0746-JTRFU,0.7227,Yes,10
8443-ZRDBZ,0.7226,Yes,10
3191-CSNMG,0.7222,No,10
8622-ZLFKO,0.7219,No,10
0754-UKWQP,0.7218,Yes,10
8111-RKSPX,0.7213,Yes,10
8118-LSUEL,0.7211,Yes,10
7079-QRCBC,0.7208,Yes,10
5167-GBFRE,0.7199,Yes,10
1571-SAVHK,0.7191,Yes,10
6892-XPFPU,0.7183,Yes,10
5956-YHHRX,0.7183,No,10
4597-NUCQV,0.7183,Yes,10
6683-VLCTZ,0.7182,Yes,10
0612-RTZZA,0.7181,Yes,10
5357-TZHPP,0.7178,Yes,10
2920-RNCEZ,0.7175,No,10
2612-RRIDN,0.7175,Yes,10
2952-QAYZF,0.7169,Yes,10
2430-USGXP,0.7164,Yes,10
3398-FSHON,0.7163,Yes,10
5095-AESKG,0.7159,Yes,10
3292-PBZEJ,0.7143,No,10
6608-QQLVK,0.7125,Yes,10
7089-IVVAZ,0.712,Yes,10
8313-NDOIA,0.7111,No,10
3393-FMZPV,0.7111,Yes,10
2516-VQRRV,0.711,Yes,10
1465-VINDH,0.711,Yes,10
8800-JOOCF,0.7105,No,10
7969-AULMZ,0.7105,Yes,10
2077-MPJQO,0.7105,No,10
1200-TUZHR,0.7102,No,10
9430-FRQOC,0.7097,Yes,10
6407-UTSLV,0.7096,No,10
7130-VTEWQ,0.7092,Yes,10
9317-WZPGV,0.709,Yes,10
5501-TVMGM,0.7087,No,10
3583-EKAPL,0.7087,Yes,10
0871-URUWO,0.7082,Yes,10
5935-FCCNB,0.7079,No,10
1084-UQCHV,0.7071,Yes,10
1078-TDCRN,0.7068,No,10
0236-HFWSV,0.7065,Yes,10
5937-EORGB,0.7065,No,10
8625-AZYZY,0.7065,Yes,10
7392-YYPYJ,0.7065,No,10
9547-ITEFG,0.7065,No,10
9689-PTNPG,0.7063,Yes,10
4234-XTNEA,0.7063,No,10
6161-UUUTA,0.7062,Yes,10
3295-YVUSR,0.7061,No,10
7235-NXZCP,0.7061,Yes,10
8361-LTMKD,0.7061,Yes,10
4706-AXVKM,0.706,Yes,10
5442-UTCVD,0.7058,Yes,10
9334-GWGOW,0.7056,No,10
7590-VHVEG,0.7055,No,10
4143-OOBWZ,0.7055,Yes,10
0365-BZUWY,0.7045,No,10
6877-TJMBR,0.7036,Yes,10
8107-KNCIM,0.7031,No,10
9685-WKZGT,0.7031,Yes,10
3338-CVVEH,0.703,No,10
3045-XETSH,0.7027,Yes,10
5995-SNNEW,0.7022,No,10
7802-EFKNY,0.7021,Yes,10
6390-DSAZX,0.7019,Yes,10
5138-WVKYJ,0.7004,Yes,10
1342-JPNKI,0.7001,Yes,10
1731-TVIUK,0.7001,Yes,10
4094-NSEDU,0.6998,Yes,10
5884-GCYMI,0.6998,Yes,10
4847-TAJYI,0.6998,No,10
9734-YWGEX,0.6997,Yes,10
3420-YJLQT,0.6997,No,10
3585-ISXZP,0.6993,Yes,10
0709-TVGUR,0.6986,Yes,10
6860-YRJZP,0.6986,No,10
7548-SEPYI,0.6986,Yes,10
2272-QAGFO,0.6981,Yes,10
2959-MJHIC,0.6977,Yes,10
2369-UAPKZ,0.6976,Yes,10
1569-TTNYJ,0.6973,Yes,10
7479-NITWS,0.6964,Yes,10
5883-GTGVD,0.6964,Yes,10
3074-GQWYX,0.6962,Yes,10
3318-NMQXL,0.6952,No,10
8357-EQXFO,0.6952,Yes,10
1626-ERCMM,0.6951,Yes,10
2135-RXIHG,0.695,Yes,10
2082-CEFLT,0.695,Yes,10
9314-IJWSQ,0.6943,No,10
2495-INZWQ,0.694,Yes,10
4349-GFQHK,0.694,Yes,10
0248-IPDFW,0.6936,No,10
9360-OMDZZ,0.6932,No,10
5519-YLDGW,0.6928,Yes,10
4229-CZMLL,0.6927,Yes,10
8185-UPYBR,0.6927,Yes,10
2929-ERCFZ,0.6927,Yes,10
9274-CNFMO,0.6927,Yes,10
2876-GZYZC,0.6922,No,10
7225-CBZPL,0.6921,No,10
3663-MITLP,0.6915,Yes,10
9897-KXHCM,0.6914,Yes,10
1960-UYCNN,0.6913,No,10
2990-HWIML,0.6912,Yes,10
9050-IKDZA,0.6907,No,10
8111-SLLHI,0.6903,Yes,10
4192-GORJT,0.6902,Yes,10
3217-FZDMN,0.6898,Yes,10
2674-MIAHT,0.6897,No,10
2754-VDLTR,0.6897,Yes,10
9514-JDSKI,0.6895,Yes,10
2636-OHFMN,0.6895,Yes,10
9837-BMCLM,0.6894,Yes,10
2962-XPMCQ,0.6888,Yes,10
3452-GWUIN,0.6886,No,10
4342-HENTK,0.6882,Yes,10
9799-CAYJJ,0.6882,No,10
5804-LEPIM,0.6882,Yes,10
1602-IJQQE,0.6882,Yes,10
2055-PDADH,0.6882,Yes,10
5276-KQWHG,0.6882,Yes,10
6786-OBWQR,0.688,No,10
9919-KNPOO,0.6875,No,10
5429-LWCMV,0.6875,No,10
4929-XIHVW,0.6874,No,10
2672-HUYVI,0.6867,Yes,10
5261-QSHQM,0.6859,Yes,10
5318-IXUZF,0.6859,Yes,10
1219-NNDDO,0.6857,No,10
4115-NZRKS,0.6848,No,10
9921-ZVRHG,0.6847,Yes,10
1658-BYGOY,0.6838,Yes,10
9809-IMGCQ,0.6838,Yes,10
9227-LUNBG,0.6837,Yes,10
4195-NZGTA,0.6837,No,10
2260-USTRB,0.6836,Yes,10
8943-URTMR,0.6831,Yes,10
3855-ONCAR,0.6831,No,10
6821-BUXUX,0.683,Yes,10
5570-PTWEH,0.6826,Yes,10
2276-YDAVZ,0.6826,Yes,10
4290-BSXUX,0.682,Yes,10
9290-SHCMB,0.6817,No,10
4367-NHWMM,0.6809,No,10
9136-ALYBR,0.6809,Yes,10
6032-IGALN,0.6809,Yes,10
7537-RBWEA,0.6809,No,10
1965-AKTSX,0.6805,Yes,10
7693-LCKZL,0.68,Yes,10
3874-EQOEP,0.6793,Yes,10
3370-HXOPH,0.6793,No,10
6168-WFVVF,0.6793,Yes,10
5940-AHUHD,0.6792,Yes,10
5482-PLVPE,0.6786,Yes,10
6711-FLDFB,0.6784,Yes,10
0840-DFEZH,0.6784,No,10
6060-DRTNL,0.6783,Yes,10
4806-KEXQR,0.6781,Yes,10
2984-MIIZL,0.6778,Yes,10
3440-JPSCL,0.6776,Yes,10
7780-OTDSO,0.6776,Yes,10
5590-BYNII,0.6776,Yes,10
9850-OWRHQ,0.6775,Yes,10
6424-ELEYH,0.6775,Yes,10
6221-AVQYL,0.6775,Yes,10
8937-RDTHP,0.6774,Yes,10
6519-CFDBX,0.6772,No,10
8868-WOZGU,0.6772,Yes,10
7354-OIJLX,0.6771,No,10
5928-QLDHB,0.6771,No,10
7994-UYIVZ,0.6771,No,10
3372-KWFBM,0.6768,Yes,10
3319-DWOEP,0.6767,Yes,10
7625-XCQRH,0.6762,Yes,10
7938-OUHIO,0.6761,Yes,10
9874-QLCLH,0.6753,Yes,10
5159-YFPKQ,0.6753,Yes,10
0722-SVSFK,0.675,No,10
2180-DXNEG,0.6746,Yes,10
8183-ONMXC,0.6744,Yes,10
0411-EZJZE,0.6743,No,10
4929-BSTRX,0.6743,Yes,10
3518-PZXZQ,0.6743,No,10
4201-JMNGR,0.6733,Yes,10
0122-OAHPZ,0.6732,Yes,10
1724-BQUHA,0.6729,Yes,10
7198-GLXTC,0.6726,Yes,10
5349-IECLD,0.6722,Yes,10
9058-CBREO,0.6713,Yes,10
5382-SOYZL,0.6712,No,10
3096-GKWEB,0.6712,No,10
5955-ERIHD,0.6712,Yes,10
3199-XGZCY,0.6711,No,10
3106-ULWFW,0.671,Yes,10
6956-SMUCM,0.6708,Yes,10
1024-VRZHF,0.6706,Yes,10
2123-AGEEN,0.6706,No,10
3247-ZVOUO,0.6702,Yes,10
4514-GFCFI,0.6702,Yes,10
1309-BXVOQ,0.6697,Yes,10
3249-ZPQRG,0.6697,Yes,10
8242-SOQUO,0.6696,No,10
5569-KGJHX,0.6695,Yes,10
6137-NICCO,0.6684,No,10
9436-ZBZCT,0.6683,Yes,10
4285-GYRQC,0.6683,Yes,10
8414-MYSHR,0.6683,Yes,10
2845-HSJCY,0.6678,Yes,10
0925-VYDLG,0.6673,Yes,10
7495-OOKFY,0.6662,Yes,10
3329-WDIOK,0.6661,Yes,10
8086-OVPWV,0.666,Yes,10
9878-TNQGW,0.666,Yes,10
3030-YDNRM,0.6659,No,10
4145-UQXUQ,0.6659,Yes,10
4282-YMKNA,0.6659,Yes,10
8541-QVFKM,0.6659,No,10
8065-YKXKD,0.6659,Yes,10
8010-EZLOU,0.6659,Yes,10
0135-NMXAP,0.6656,Yes,10
4735-ASGMA,0.6656,Yes,10
2025-JKFWI,0.6655,Yes,10
4074-SJFFA,0.6655,Yes,10
9565-DJPIB,0.6653,Yes,10
7315-WYOAW,0.6652,No,10
3186-BAXNB,0.6652,Yes,10
8280-MQRQN,0.6649,Yes,10
4822-NGOCH,0.6646,Yes,10
2868-SNELZ,0.6643,Yes,9
0928-JMXNP,0.664,No,9
0231-LXVAP,0.6637,Yes,9
0329-GTIAJ,0.6629,Yes,9
2074-GKOWZ,0.6623,Yes,9
5339-PXDVH,0.6622,No,9
7563-BIUPC,0.6619,Yes,9
6959-UWKHF,0.6619,Yes,9
7394-LWLYN,0.6618,No,9
