customerID,churn_probability,actual_churn,risk_decile
8644-XLFBW,0.8372,Yes,10
2660-EMUBI,0.8355,Yes,10
5052-PNLOS,0.8354,Yes,10
1640-PLFMP,0.8353,No,10
1031-IIDEO,0.8353,Yes,10
6653-CBBOM,0.8353,Yes,10
0328-GRPMV,0.8353,Yes,10
4702-IOQDC,0.8353,Yes,10
5376-DEQCP,0.8353,Yes,10
3244-DCJWY,0.8353,Yes,10
1768-ZAIFU,0.8347,Yes,10
7932-WPTDS,0.8347,Yes,10
1143-NMNQJ,0.8346,Yes,10
2865-TCHJW,0.8344,Yes,10
4587-VVTOX,0.8341,Yes,10
6618-RYATB,0.8338,Yes,10
2545-EBUPK,0.8338,No,10
7526-BEZQB,0.8336,Yes,10
8593-WHYHV,0.8334,Yes,10
6416-TVAIH,0.8326,Yes,10
1447-GIQMR,0.8321,Yes,10
3389-YGYAI,0.8321,Yes,10
3716-BDVDB,0.8321,Yes,10
4603-JANFB,0.8321,Yes,10
6502-MJQAE,0.8321,Yes,10
6457-GIRWB,0.8321,Yes,10
7254-IQWOZ,0.8321,Yes,10
1820-TQVEV,0.8321,Yes,10
3428-XZMAZ,0.8321,Yes,10
4510-HIMLV,0.8321,Yes,10
5196-SGOAK,0.8319,Yes,10
3765-JXVKY,0.8319,Yes,10
0616-ATFGB,0.8319,Yes,10
3296-SILRA,0.8312,Yes,10
7181-BQYBV,0.8311,Yes,10
6372-RFVNS,0.8306,Yes,10
1450-GALXR,0.8303,Yes,10
9507-EXLTT,0.8297,Yes,10
9514-JDSKI,0.8278,Yes,10
6857-VWJDT,0.8272,Yes,10
1273-MTETI,0.827,Yes,10
2205-YMZZJ,0.8259,Yes,10
8380-PEFPE,0.8254,Yes,10
1853-UDXBW,0.8254,Yes,10
3422-LYEPQ,0.8254,Yes,10
2982-IHMFT,0.8253,Yes,10
5875-YPQFJ,0.8249,Yes,10
0564-JJHGS,0.8249,Yes,10
9804-ICWBG,0.8249,Yes,10
5542-TBBWB,0.8249,No,10
2446-PLQVO,0.8249,Yes,10
7465-ZZRVX,0.8249,No,10
3494-JCHRQ,0.8249,Yes,10
9399-APLBT,0.8247,Yes,10
9019-QVLZD,0.823,Yes,10
3387-VATUS,0.8224,Yes,10
0137-OCGAB,0.8221,Yes,10
5564-NEMQO,0.8214,Yes,10
4274-OWWYO,0.8213,Yes,10
3746-EUBYR,0.8212,Yes,10
6356-ELRKD,0.8207,Yes,10
9025-AOMKI,0.8205,Yes,10
5380-AFSSK,0.8205,Yes,10
8821-XNHVZ,0.8202,Yes,10
9223-UCPVT,0.8201,Yes,10
7903-CMPEY,0.82,Yes,10
4750-ZRXIU,0.8194,Yes,10
2454-RPBRZ,0.818,Yes,10
1624-NALOJ,0.8173,Yes,10
3006-XIMLN,0.8172,Yes,10
2254-DLXRI,0.8161,No,10
7943-RQCHR,0.8159,Yes,10
2777-PHDEI,0.815,Yes,10
3902-FOIGH,0.8149,Yes,10
5054-IEXZT,0.8138,Yes,10
8309-IEYJD,0.8133,No,10
0390-DCFDQ,0.8133,Yes,10
2462-XIIJB,0.8129,Yes,10
1579-KLYDT,0.8122,Yes,10
7294-TMAOP,0.812,Yes,10
5797-APWZC,0.812,Yes,10
0697-ZMSWS,0.8116,Yes,10
3049-NDXFL,0.8108,Yes,10
1925-TIBLE,0.8103,Yes,10
7488-MXJIV,0.8102,Yes,10
6210-KBBPI,0.81,Yes,10
3489-HHPFY,0.8096,No,10
6910-HADCM,0.8094,Yes,10
1448-PWKYE,0.8094,Yes,10
9172-ANCRX,0.8081,Yes,10
6630-UJZMY,0.808,No,10
6960-HVYXR,0.8079,Yes,10
4548-SDBKE,0.8078,Yes,10
8972-HJWNV,0.8063,Yes,10
9444-JTXHZ,0.8063,Yes,10
4132-KALRO,0.8062,No,10
8945-GRKHX,0.806,Yes,10
3707-GNWHM,0.805,Yes,10
0612-RTZZA,0.8026,Yes,10
2982-VPSGI,0.802,Yes,10
5519-NPHVG,0.802,Yes,10
0196-VULGZ,0.8019,Yes,10
4228-ZGYUW,0.8017,Yes,10
5186-SAMNZ,0.8013,Yes,10
1304-NECVQ,0.8011,Yes,10
0684-AOSIH,0.8002,Yes,10
5393-RXQSZ,0.8001,Yes,10
2867-UIMSS,0.8001,Yes,10
1285-OKIPP,0.8001,Yes,10
4951-UKAAQ,0.7997,Yes,10
7314-OXENN,0.7992,Yes,10
6969-MVBAI,0.7991,No,10
4445-ZJNMU,0.7986,No,10
9451-LPGOO,0.798,Yes,10
1393-IMKZG,0.7971,No,10
8337-UPOAQ,0.7969,Yes,10
6688-UZPWD,0.7948,Yes,10
5419-CONWX,0.7946,Yes,10
2612-RANWT,0.7938,Yes,10
9061-TIHDA,0.7933,Yes,10
5275-SQEIZ,0.7926,Yes,10
3871-IKPYH,0.7919,Yes,10
3198-VELRD,0.7912,Yes,10
6892-EZDTG,0.7909,Yes,10
0702-PGIBZ,0.7908,Yes,10
7779-LGOVN,0.7902,Yes,10
3727-RJMEO,0.7901,Yes,10
0754-UKWQP,0.7895,Yes,10
3422-GALYP,0.7891,No,10
7234-FECYN,0.789,Yes,10
6979-ZNSFF,0.7888,Yes,10
4929-XIHVW,0.7886,No,10
8739-XNIKG,0.788,No,10
2642-DTVCO,0.7879,Yes,10
0637-KVDLV,0.7877,Yes,10
5095-AESKG,0.7876,Yes,10
3276-HDUEG,0.7871,Yes,10
2024-BASKD,0.7867,Yes,10
1086-LXKFY,0.7861,Yes,10
4952-YSOGZ,0.7859,Yes,10
5043-TRZWM,0.7857,No,10
9940-RHLFB,0.7857,Yes,10
7908-QCBCA,0.7855,Yes,10
0334-GDDSO,0.7855,Yes,10
6108-OQZDQ,0.7851,Yes,10
8780-IXSTS,0.7848,Yes,10
7330-WZLNC,0.7848,Yes,10
3462-BJQQA,0.7848,No,10
2856-HYAPG,0.7845,Yes,10
2737-WFVYW,0.7842,Yes,10
8258-GSTJK,0.784,Yes,10
7576-OYWBN,0.784,Yes,10
2215-ZAFGX,0.7833,No,10
7249-WBIYX,0.7833,Yes,10
2691-NZETQ,0.7833,Yes,10
8622-ZLFKO,0.7823,No,10
6086-ESGRL,0.7818,Yes,10
5383-MMTWC,0.7816,Yes,10
8058-JMEQO,0.781,Yes,10
6772-KSATR,0.7805,Yes,10
7595-EUIVN,0.7798,Yes,10
1075-BGWOH,0.7796,Yes,10
0812-WUPTB,0.7788,Yes,10
2754-SDJRD,0.7787,No,10
5299-RULOA,0.7771,Yes,10
2952-QAYZF,0.7769,Yes,10
3066-RRJIO,0.7769,Yes,10
0968-GSIKN,0.7769,Yes,10
2619-WFQWU,0.7769,Yes,10
9985-MWVIX,0.7769,Yes,10
5032-MIYKT,0.7769,No,10
8348-HFYIV,0.776,Yes,10
1915-IOFGU,0.7759,Yes,10
9965-YOKZB,0.7759,Yes,10
2262-SLNVK,0.7759,No,10
3177-LASXD,0.7759,Yes,10
3801-HMYNL,0.7758,Yes,10
5229-PRWKT,0.7756,Yes,10
1567-DSCIC,0.7751,Yes,10
0661-XEYAN,0.7749,Yes,10
1496-GGSUK,0.7749,Yes,10
7235-NXZCP,0.7748,Yes,10
3295-YVUSR,0.7748,No,10
1389-CXMLU,0.7747,Yes,10
3319-DWOEP,0.7739,Yes,10
8382-SHQEH,0.7734,Yes,10
3834-XUIFC,0.7731,Yes,10
2034-GDRCN,0.7729,Yes,10
7479-NITWS,0.7728,Yes,10
5583-SXDAG,0.7723,Yes,10
9894-EZEWG,0.7722,Yes,10
0195-IESCP,0.7701,Yes,10
0680-DFNNY,0.7691,Yes,10
1618-CFHME,0.7686,Yes,10
2013-SGDXK,0.7684,Yes,10
7074-IEVOJ,0.7663,Yes,10
6877-TJMBR,0.7655,Yes,10
5565-FILXA,0.7648,Yes,10
1122-JWTJW,0.7645,Yes,10
0515-YPMCW,0.7645,Yes,10
1062-LHZOD,0.7645,Yes,10
8168-UQWWF,0.7642,Yes,10
3045-XETSH,0.7641,Yes,10
9617-INGJY,0.7639,No,10
6140-QNRQQ,0.7639,Yes,10
8042-JVNFH,0.7639,Yes,10
7817-BOQPW,0.7638,Yes,10
5835-BEQEU,0.7635,Yes,10
8443-ZRDBZ,0.7635,Yes,10
5644-PDMZC,0.7634,Yes,10
3398-FSHON,0.7631,Yes,10
7153-OANIO,0.7628,Yes,10
4759-TRPLW,0.7628,Yes,10
7613-LLQFO,0.7626,Yes,10
8510-AWCXC,0.7625,Yes,10
3440-JPSCL,0.7618,Yes,10
1197-BVMVG,0.7598,No,10
5561-NWEVX,0.7598,Yes,10
5482-PLVPE,0.7598,Yes,10
0722-TROQR,0.7598,Yes,10
5956-VKDTT,0.7598,Yes,10
3793-MMFUH,0.7593,Yes,10
7858-GTZSP,0.759,No,10
5889-LFOLL,0.759,Yes,10
6275-YDUVO,0.7588,Yes,10
1564-NTYXF,0.7588,Yes,10
6060-DRTNL,0.7587,Yes,10
7341-LXCAF,0.7586,Yes,10
0404-SWRVG,0.7586,Yes,10
8083-YTZES,0.7586,Yes,10
6015-VVHHE,0.7579,Yes,10
1571-SAVHK,0.7578,Yes,10
8992-JQYUN,0.7575,Yes,10
9747-DDZOS,0.7573,Yes,10
1960-UYCNN,0.7569,No,10
8245-UMPYT,0.7567,Yes,10
4501-EQDRN,0.7561,Yes,10
5378-IKEEG,0.7561,Yes,10
0375-HVGXO,0.7561,Yes,10
9907-SWKKF,0.7555,Yes,10
3677-IYRBF,0.755,Yes,10
2516-VQRRV,0.7549,Yes,10
9317-WZPGV,0.7549,Yes,10
8357-EQXFO,0.7544,Yes,10
4795-KTRTH,0.754,Yes,10
0841-NULXI,0.7538,Yes,10
3091-FYHKI,0.7538,Yes,10
7398-SKNQZ,0.7538,No,10
9840-EFJQB,0.7535,No,10
3621-CEOVK,0.7531,Yes,10
3320-VEOYC,0.7526,No,10
9957-YODKZ,0.7521,No,10
4060-LDNLU,0.7511,No,10
2074-GKOWZ,0.7504,Yes,10
4140-MUHUG,0.7502,Yes,10
5293-WXJAK,0.75,Yes,10
8931-GJJIQ,0.7499,Yes,10
4115-NZRKS,0.7498,No,10
4847-TAJYI,0.7498,No,10
6683-VLCTZ,0.7496,Yes,10
8361-LTMKD,0.7496,Yes,10
2920-RNCEZ,0.7496,No,10
6350-XFYGW,0.7495,No,10
3992-YWPKO,0.7491,Yes,10
5429-LWCMV,0.7472,No,10
7548-SEPYI,0.7463,Yes,10
5348-CAGXB,0.7451,No,10
0495-ZBNGW,0.7436,Yes,10
1084-UQCHV,0.7433,Yes,10
4581-SSPWD,0.743,Yes,10
3519-ZKXGG,0.743,Yes,10
9330-IJWIO,0.7429,Yes,10
3292-PBZEJ,0.7429,No,10
9290-SHCMB,0.7428,No,10
1173-XZPYF,0.7427,No,10
0220-EBGCE,0.7416,Yes,10
6615-NGGZJ,0.7409,Yes,10
4529-CKBCL,0.7406,Yes,10
1981-INRFU,0.7406,Yes,10
7760-OYPDY,0.7406,Yes,10
0722-SVSFK,0.7402,No,10
2430-USGXP,0.7398,Yes,10
8808-ELEHO,0.7397,Yes,10
3874-EQOEP,0.7386,Yes,10
3606-TWKGI,0.738,Yes,10
1320-HTRDR,0.7378,Yes,10
9306-CPCBC,0.7378,Yes,10
4090-KPJIP,0.7378,No,10
4749-OJKQU,0.7378,No,10
8414-MYSHR,0.7375,Yes,10
9185-TQCVP,0.7371,Yes,10
0880-TKATG,0.7364,Yes,10
4110-PFEUZ,0.7359,Yes,10
2990-HWIML,0.7357,Yes,10
2672-HUYVI,0.7357,Yes,10
9221-OTIVJ,0.7355,Yes,10
3473-XIIIT,0.7355,Yes,10
4192-GORJT,0.7354,Yes,10
7079-QRCBC,0.7345,Yes,10
7568-PODML,0.7345,Yes,10
4143-OOBWZ,0.7341,Yes,10
7938-OUHIO,0.734,Yes,10
4713-LZDRV,0.734,Yes,10
1724-BQUHA,0.7335,Yes,10
9134-CEQMF,0.7335,Yes,10
0187-QSXOE,0.7335,No,10
9334-GWGOW,0.7332,No,10
2077-MPJQO,0.7332,No,10
5318-IXUZF,0.7331,Yes,10
2180-DXNEG,0.7328,Yes,10
6956-SMUCM,0.7324,Yes,10
6328-ZPBGN,0.732,Yes,10
9611-CTWIH,0.7315,Yes,10
9094-AZPHK,0.7313,No,10
7295-JOMMD,0.731,Yes,10
0916-QOFDP,0.7308,No,10
6221-AVQYL,0.7301,Yes,10
4285-GYRQC,0.7292,Yes,10
1465-VINDH,0.7282,Yes,10
4145-UQXUQ,0.728,Yes,10
2123-AGEEN,0.7278,No,10
6407-UTSLV,0.7278,No,10
9809-IMGCQ,0.7271,Yes,10
9689-PTNPG,0.7262,Yes,10
4234-XTNEA,0.7262,No,10
8040-MNRTF,0.726,No,10
0511-JTEOY,0.726,Yes,10
0151-ONTOV,0.726,Yes,10
0519-XUZJU,0.726,Yes,10
9050-IKDZA,0.7259,No,10
0219-YTZUE,0.7243,Yes,10
4597-NUCQV,0.7238,Yes,10
8111-RKSPX,0.7236,Yes,10
1569-TTNYJ,0.7235,Yes,10
3877-JRJIP,0.7233,Yes,10
3318-NMQXL,0.723,No,10
7273-TEFQD,0.7224,Yes,10
8943-URTMR,0.7223,Yes,10
5884-GCYMI,0.7213,Yes,10
3247-ZVOUO,0.7208,Yes,10
5276-KQWHG,0.7208,Yes,10
2027-FECZV,0.7208,Yes,10
2260-USTRB,0.7207,Yes,10
5698-BQJOH,0.7207,Yes,10
6137-NICCO,0.7204,No,10
7890-VYYWG,0.7194,Yes,10
2740-TVLFN,0.7191,No,10
7767-UXAGJ,0.7191,Yes,10
5673-FSSMF,0.7189,Yes,10
7228-OMTPN,0.7188,Yes,10
7209-JCUDS,0.7184,Yes,10
7130-VTEWQ,0.7177,Yes,10
1746-TGTWV,0.7171,No,10
2929-ERCFZ,0.7164,Yes,10
9547-ITEFG,0.716,No,10
6215-NQCPY,0.716,No,10
4822-NGOCH,0.7155,Yes,10
5159-YFPKQ,0.7152,Yes,10
2876-GZYZC,0.7151,No,10
4342-HENTK,0.7149,Yes,10
9799-CAYJJ,0.7149,No,10
5804-LEPIM,0.7149,Yes,10
1200-TUZHR,0.7139,No,10
8185-UPYBR,0.7129,Yes,10
2369-UAPKZ,0.7127,Yes,10
2880-FPNAE,0.7115,No,10
9231-ZJYAM,0.7113,Yes,10
5940-AHUHD,0.7111,Yes,10
5357-TZHPP,0.711,Yes,10
0231-LXVAP,0.711,Yes,10
6860-YRJZP,0.711,No,10
7508-MYBOG,0.711,Yes,10
1731-TVIUK,0.7107,Yes,10
7365-BVCJH,0.7102,No,10
1334-FJSVR,0.7102,Yes,10
3797-VTIDR,0.7102,Yes,10
2672-DZUOY,0.7102,Yes,10
7969-AULMZ,0.7098,Yes,10
4229-CZMLL,0.7097,Yes,10
6326-MTTXK,0.7092,Yes,10
9944-HKVVB,0.7088,Yes,10
1980-KXVPM,0.7088,Yes,10
0325-XBFAC,0.7085,Yes,10
0709-TVGUR,0.7084,Yes,10
6856-RAURS,0.7078,No,10
9878-TNQGW,0.7077,Yes,10
8086-OVPWV,0.7077,Yes,10
0236-HFWSV,0.7073,Yes,10
6711-FLDFB,0.7071,Yes,10
0840-DFEZH,0.7071,No,10
0122-OAHPZ,0.7071,Yes,10
4086-YQSNZ,0.7069,Yes,10
7994-UYIVZ,0.7061,No,10
9274-CNFMO,0.7059,Yes,10
8937-RDTHP,0.7059,Yes,10
8242-SOQUO,0.7058,No,10
4735-ASGMA,0.7047,Yes,10
2645-QTLMB,0.7041,Yes,10
4853-OITSN,0.7039,No,10
3106-ULWFW,0.7035,Yes,10
5883-GTGVD,0.7033,Yes,10
6128-CZOMY,0.7029,Yes,10
0508-OOLTO,0.7025,No,10
7392-YYPYJ,0.7022,No,10
9734-YWGEX,0.701,Yes,10
5442-UTCVD,0.7005,Yes,10
5956-YHHRX,0.7004,No,10
6892-XPFPU,0.7004,Yes,10
6734-GMPVK,0.6999,No,10
6432-TWQLB,0.6997,Yes,10
5077-DXTCG,0.6992,Yes,10
2674-MIAHT,0.699,No,10
8087-LGYHQ,0.699,No,10
5168-MSWXT,0.6989,No,10
7225-CBZPL,0.6988,No,10
4395-PZMSN,0.6988,No,10
7321-VGNKU,0.6977,No,10
7394-LWLYN,0.6977,No,10
1740-CSDJP,0.6977,Yes,10
4482-EWFMI,0.6977,No,10
3721-CNEYS,0.6977,Yes,10
8835-VSDSE,0.6977,Yes,10
9237-HQITU,0.6977,Yes,10
7780-OTDSO,0.6976,Yes,10
0822-GAVAP,0.697,Yes,10
2485-ITVKB,0.697,Yes,10
8699-ASUFO,0.6969,Yes,10
1658-BYGOY,0.6968,Yes,10
5935-FCCNB,0.6962,No,10
6437-UKHMV,0.696,Yes,10
6161-UUUTA,0.6959,Yes,10
8752-STIVR,0.6959,Yes,10
1342-JPNKI,0.6952,Yes,10
3217-FZDMN,0.694,Yes,10
8541-QVFKM,0.6934,No,10
5995-SNNEW,0.6932,No,10
2135-DQWAQ,0.6931,No,10
7693-LCKZL,0.693,Yes,10
5760-IFJOZ,0.6927,No,10
6229-LSCKB,0.6926,No,10
5445-UTODQ,0.6926,Yes,10
7638-QVMVY,0.6926,Yes,10
3030-YDNRM,0.6926,No,10
5590-BYNII,0.6925,Yes,10
7354-OIJLX,0.6921,No,10
5928-QLDHB,0.6921,No,10
4884-ZTHVF,0.692,No,10
0011-IGKFF,0.6919,Yes,10
9189-JWSHV,0.6919,Yes,10
3138-BKYAV,0.6917,Yes,10
2379-ENZGV,0.6917,Yes,10
1678-FYZOW,0.6914,Yes,10
6357-JJPQT,0.6914,No,10
3393-FMZPV,0.6911,Yes,10
4021-RQSNY,0.6908,Yes,10
2761-OCIAX,0.6906,Yes,10
3199-XGZCY,0.6899,No,10
2657-VPXTA,0.6896,No,10
1219-NNDDO,0.6894,No,10
2135-RXIHG,0.6873,Yes,10
2082-CEFLT,0.6873,Yes,10
1024-GUALD,0.6869,Yes,10
5138-WVKYJ,0.6866,Yes,10
8065-YKXKD,0.6866,Yes,10
2081-VEYEH,0.6862,No,10
6786-OBWQR,0.686,No,10
5937-EORGB,0.6856,No,10
3372-KWFBM,0.685,Yes,10
1704-NRWYE,0.6847,Yes,10
3186-BAXNB,0.6845,Yes,10
8800-JOOCF,0.6844,No,10
3585-ISXZP,0.6843,Yes,10
0365-BZUWY,0.6842,No,10
2754-VDLTR,0.6838,Yes,10
4282-YMKNA,0.6836,Yes,10
8714-CTZJW,0.6833,No,10
0306-JAELE,0.6832,Yes,10
9752-ZNQUT,0.683,No,10
8625-AZYZY,0.6826,Yes,10
2636-OHFMN,0.6825,Yes,10
7384-GHBPI,0.6824,Yes,10
8132-YPVBX,0.6824,No,10
4514-GFCFI,0.6823,Yes,10
9685-WKZGT,0.6821,Yes,10
5519-YLDGW,0.682,Yes,10
2897-DOVND,0.682,No,10
3750-CKVKH,0.682,Yes,10
9717-QEBGU,0.682,No,10
3191-CSNMG,0.6814,No,10
2868-SNELZ,0.6814,Yes,10
1965-AKTSX,0.6813,Yes,10
5349-IECLD,0.6813,Yes,10
4112-LUEIZ,0.6812,Yes,10
9174-FKWZE,0.6802,Yes,10
2612-RRIDN,0.68,Yes,10
2959-MJHIC,0.68,Yes,10
1626-ERCMM,0.6797,Yes,10
4298-OYIFC,0.6794,No,10
2272-QAGFO,0.6794,Yes,10
9828-AOQLM,0.6794,Yes,10
3074-GQWYX,0.6794,Yes,10
9897-KXHCM,0.679,Yes,10
4210-QFJMF,0.6787,Yes,10
0871-URUWO,0.6783,Yes,10
4706-AXVKM,0.6783,Yes,10
5570-PTWEH,0.6782,Yes,10
2276-YDAVZ,0.6782,Yes,10
6424-ELEYH,0.6782,Yes,10
9850-OWRHQ,0.6782,Yes,10
6435-SRWBJ,0.678,No,10
7218-HKQFK,0.6776,Yes,10
3452-GWUIN,0.677,No,10
4094-NSEDU,0.677,Yes,10
7563-BIUPC,0.6766,Yes,10
1976-CFOCS,0.6764,Yes,10
1866-OBPNR,0.6762,No,10
2983-ZANRP,0.676,Yes,10
5685-IIXLY,0.6752,Yes,10
9741-YLNTD,0.6751,No,10
0013-EXCHZ,0.6748,Yes,10
7668-XCFYV,0.6748,No,10
4236-XPXAV,0.6747,Yes,10
7402-EYFXX,0.6731,No,10
4813-HQMGZ,0.6729,No,10
3317-HRTNN,0.6729,Yes,10
8443-WVPSS,0.6727,Yes,10
4770-UEZOX,0.6727,No,10
6390-DSAZX,0.6722,Yes,10
6502-HCJTI,0.672,Yes,10
8118-LSUEL,0.6713,Yes,10
8313-NDOIA,0.6711,No,10
9360-OMDZZ,0.6711,No,10
7590-VHVEG,0.6709,No,10
3338-CVVEH,0.6707,No,10
9430-FRQOC,0.67,Yes,10
9239-ZBZZV,0.6698,Yes,10
0947-IDHRQ,0.6696,Yes,10
8263-JQAIK,0.6694,Yes,10
9921-ZVRHG,0.6694,Yes,10
5569-KGJHX,0.669,Yes,10
2905-KFQUV,0.6688,No,10
2495-INZWQ,0.6684,Yes,10
2985-FMWYF,0.6684,No,10
7615-ESMYF,0.6682,Yes,10
0094-OIFMO,0.6681,Yes,10
6941-PMGEP,0.6673,Yes,10
4585-HETAI,0.6671,Yes,9
0248-IPDFW,0.667,No,9
4290-BSXUX,0.6663,Yes,9
7089-IVVAZ,0.6657,Yes,9
4123-DVHPH,0.6652,No,9
0674-EYYZV,0.665,No,9
8485-GJCDN,0.6649,Yes,9
8861-HGGKB,0.6648,Yes,9
0329-GTIAJ,0.6646,Yes,9
9314-IJWSQ,0.6646,No,9
7854-FOKSF,0.6642,Yes,9
